SOC_Code,Occupation_Title,Top_Essential_Skills,Hot_Software_Tools,In_Demand_Software,Total_Software_Count
15-1252.00,Software Developers,"Critical Thinking, Reading Comprehension, Active Listening, Active Learning, Writing","Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AJAX, Alteryx software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2","Amazon Web Services AWS software, Apache Kafka, Atlassian JIRA, C, C#",430
15-1251.00,Computer Programmers,"Active Listening, Critical Thinking, Reading Comprehension, Writing, Speaking","Adobe Acrobat, Adobe Illustrator, Adobe Photoshop, AJAX, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software","C#, C++, Cascading style sheets CSS, Extensible markup language XML, Git",293
15-1299.08,Computer Systems Engineers/Architects,"Reading Comprehension, Active Listening, Critical Thinking, Writing, Speaking","Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, AJAX, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software","Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Atlassian JIRA, Bash",267
15-2051.00,Data Scientists,"Mathematics, Critical Thinking, Reading Comprehension, Active Learning, Writing","Alteryx software, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS software, Apache Airflow, Apache Cassandra, Apache Hadoop, Apache Hive, Apache Kafka, Apache Spark","Amazon Web Services AWS software, Apache Hadoop, Apache Spark, C++, Git",87
15-2051.01,Business Intelligence Analysts,"Reading Comprehension, Critical Thinking, Active Learning, Active Listening, Speaking","Adobe Acrobat, AJAX, Alteryx software, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache Hive","Amazon Web Services AWS software, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Power BI",203
15-1212.00,Information Security Analysts,"Reading Comprehension, Critical Thinking, Active Listening, Speaking, Monitoring","AJAX, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift, Amazon Web Services AWS CloudFormation, Amazon Web Services AWS software, Ansible software, Apache Cassandra, Apache Hadoop, Apache Hive","Amazon Web Services AWS software, eMASS, Firewall software, Linux, Microsoft Azure software",245
15-1253.00,Software Quality Assurance Analysts and Testers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing","Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AJAX, Amazon DynamoDB, Amazon Elastic Compute Cloud EC2, Amazon Redshift","Amazon Web Services AWS software, Apache JMeter, Appium, Atlassian JIRA, C#",429
15-1232.00,Computer User Support Specialists,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing","Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AJAX, Amazon Redshift, Amazon Web Services AWS software, Ansible software, Apache Cassandra","Apple iOS, Apple macOS, Firewall software, Linux, Microsoft Active Directory",258
11-3121.00,Human Resources Managers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning","Facebook, IBM SPSS Statistics, Intuit QuickBooks, Kronos Workforce Timekeeper, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project","Applicant tracking software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",102
13-1071.00,Human Resources Specialists,"Speaking, Reading Comprehension, Active Listening, Writing, Critical Thinking","Adobe Acrobat, Adobe Creative Cloud software, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Apple macOS, Cisco Webex, ESRI ArcGIS software, Extensible markup language XML, Facebook","Applicant tracking software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint",172
